title,artist,link
Wildflowers and Butterfly (Circa 1954),John P Busby,collections.ed.ac.uk/art/record/22627?highlight=*:*
Untitled (2002),Sarah Sanford,collections.ed.ac.uk/art/record/99954?highlight=*:*
Untitled - Nude Woman in Red Reclining on a Red Couch (1963),Meriel A W de C Acton,collections.ed.ac.uk/art/record/99476?highlight=*:*
Stretching Male Nude (Circa 1953),Valerie Donaldson,collections.ed.ac.uk/art/record/20949?highlight=*:*
Untitled (1969),Richard Easson,collections.ed.ac.uk/art/record/99830?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,collections.ed.ac.uk/art/record/20691?highlight=*:*
Portrait of a Young Man (1950),Alexander F Mitchell,collections.ed.ac.uk/art/record/21056?highlight=*:*
Unknown (1952),Alistair Fairweather,collections.ed.ac.uk/art/record/50422?highlight=*:*
Pylons in the Landscape (01 May 1985),Allison E Sharpe,collections.ed.ac.uk/art/record/21468?highlight=*:*
Reclining Male Nude (1949),Zygmunt Bukowski,collections.ed.ac.uk/art/record/21324?highlight=*:*
Abstract Composition in Yellow (Circa 1972),Charles K. S. Shaw,collections.ed.ac.uk/art/record/22599?highlight=*:*
Portrait of Man in a Cap (1950),Thomas Murray,collections.ed.ac.uk/art/record/21073?highlight=*:*
Of Christine Clay (1964),Connie Dearness,collections.ed.ac.uk/art/record/53583?highlight=*:*
Unknown (1957),Peter Crorkin,collections.ed.ac.uk/art/record/50508?highlight=*:*
Untitled - Woman and Man (1981),Kirsty A Kirkwood,collections.ed.ac.uk/art/record/99439?highlight=*:*
Seated Male Nude (1958),Elizabeth Meldrum,collections.ed.ac.uk/art/record/21158?highlight=*:*
Unknown,Alexander Cree,collections.ed.ac.uk/art/record/50548?highlight=*:*
Untitled (2007),Jo Ganter,collections.ed.ac.uk/art/record/99974?highlight=*:*
Unknown (1968),Paul Youngs,collections.ed.ac.uk/art/record/53591?highlight=*:*
Unknown (1960),John Gilbert,collections.ed.ac.uk/art/record/53491?highlight=*:*
Portrait of a Woman (1953),Mary Edward,collections.ed.ac.uk/art/record/21197?highlight=*:*
Untitled (1971),Jan Haycoe,collections.ed.ac.uk/art/record/21836?highlight=*:*
Agriculture,Unknown,collections.ed.ac.uk/art/record/20534?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53718?highlight=*:*
Pekin knot sample,Unknown,collections.ed.ac.uk/art/record/102730?highlight=*:*
Untitled (1967),Margaret Lothian,collections.ed.ac.uk/art/record/22026?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21870?highlight=*:*
Two Girls by the Harbour (2006),John Bellany,collections.ed.ac.uk/art/record/21531?highlight=*:*
Ashes and Diamonds (Unknown),David Freed,collections.ed.ac.uk/art/record/21654?highlight=*:*
Portrait of a Man (1954),Elizabeth Blackadder,collections.ed.ac.uk/art/record/21408?highlight=*:*
Boats and Collies (1929),Ernest S. Lumsden,collections.ed.ac.uk/art/record/21751?highlight=*:*
Unknown (1962),Kathleen Russell,collections.ed.ac.uk/art/record/50503?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53628?highlight=*:*
Untitled (1983),Unknown,collections.ed.ac.uk/art/record/21837?highlight=*:*
Untitled (1962),Carl O Ekevall,collections.ed.ac.uk/art/record/99497?highlight=*:*
Still Life with Teapot,Bull,collections.ed.ac.uk/art/record/20757?highlight=*:*
Obstacle - Exploded Drawing (2014),Charles Myatt,collections.ed.ac.uk/art/record/47456?highlight=*:*
Milk Jug,Emma Gillies,collections.ed.ac.uk/art/record/53677?highlight=*:*
